"filename", "language", "JSON", "JavaScript", "XML", "comment", "blank", "total"
"e:\PROJECT\Project\AgroMart-backend\.idea\AgroMart.iml", "XML", 0, 0, 12, 0, 0, 12
"e:\PROJECT\Project\AgroMart-backend\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 8
"e:\PROJECT\Project\AgroMart-backend\.idea\workspace.xml", "XML", 0, 0, 38, 0, 0, 38
"e:\PROJECT\Project\AgroMart-backend\app.js", "JavaScript", 0, 39, 0, 6, 8, 53
"e:\PROJECT\Project\AgroMart-backend\controllers\auth.js", "JavaScript", 0, 77, 0, 5, 14, 96
"e:\PROJECT\Project\AgroMart-backend\controllers\category.js", "JavaScript", 0, 61, 0, 0, 9, 70
"e:\PROJECT\Project\AgroMart-backend\controllers\order.js", "JavaScript", 0, 71, 0, 0, 8, 79
"e:\PROJECT\Project\AgroMart-backend\controllers\product.js", "JavaScript", 0, 152, 0, 12, 22, 186
"e:\PROJECT\Project\AgroMart-backend\controllers\user.js", "JavaScript", 0, 62, 0, 1, 9, 72
"e:\PROJECT\Project\AgroMart-backend\models\category.js", "JavaScript", 0, 14, 0, 0, 3, 17
"e:\PROJECT\Project\AgroMart-backend\models\order.js", "JavaScript", 0, 34, 0, 0, 6, 40
"e:\PROJECT\Project\AgroMart-backend\models\product.js", "JavaScript", 0, 42, 0, 0, 3, 45
"e:\PROJECT\Project\AgroMart-backend\models\user.js", "JavaScript", 0, 64, 0, 0, 6, 70
"e:\PROJECT\Project\AgroMart-backend\package-lock.json", "JSON", 6365, 0, 0, 0, 1, 6366
"e:\PROJECT\Project\AgroMart-backend\package.json", "JSON", 32, 0, 0, 0, 1, 33
"e:\PROJECT\Project\AgroMart-backend\routes\auth.js", "JavaScript", 0, 23, 0, 0, 5, 28
"e:\PROJECT\Project\AgroMart-backend\routes\category.js", "JavaScript", 0, 38, 0, 6, 10, 54
"e:\PROJECT\Project\AgroMart-backend\routes\order.js", "JavaScript", 0, 59, 0, 5, 10, 74
"e:\PROJECT\Project\AgroMart-backend\routes\product.js", "JavaScript", 0, 42, 0, 7, 10, 59
"e:\PROJECT\Project\AgroMart-backend\routes\razorpay.js", "JavaScript", 0, 53, 0, 4, 13, 70
"e:\PROJECT\Project\AgroMart-backend\routes\user.js", "JavaScript", 0, 13, 0, 0, 7, 20
"Total", "-", 6397, 844, 58, 46, 145, 7490